timestamp,latency,packet_loss,bandwidth_usage,jitter,error_rate,cpu_usage,memory_usage,network_status
2024-01-01 00:00:00,33.585,0.605,27.489,6.446,0.151,56.347,50.494,0
2024-01-01 00:01:00,29.093,0.688,40.965,3.141,0.074,51.205,44.016,0
2024-01-01 00:02:00,35.622,0.816,49.555,6.659,0.107,40.378,51.366,0
2024-01-01 00:03:00,42.451,0.805,49.586,7.68,0.074,32.069,57.272,0
2024-01-01 00:04:00,28.497,0.08,41.916,5.635,0.076,49.411,50.272,0
2024-01-01 00:05:00,27.846,0.205,58.172,8.775,0.086,45.548,50.473,0
2024-01-01 00:06:00,42.106,0.656,34.183,3.453,0.115,49.941,39.024,0
2024-01-01 00:07:00,36.697,0.677,48.24,2.428,0.077,48.134,38.429,0
2024-01-01 00:08:00,26.124,0.659,50.636,1.509,0.162,53.095,29.623,0
2024-01-01 00:09:00,34.247,1.652,58.378,8.087,0.055,32.869,77.184,0
2024-01-01 00:10:00,26.786,0.667,60.317,6.146,0.088,56.314,31.823,0
2024-01-01 00:11:00,26.481,0.818,33.239,4.812,0.079,43.32,38.767,0
2024-01-01 00:12:00,32.105,0.799,28.18,5.482,0.174,64.211,39.075,0
2024-01-01 00:13:00,15.498,0.694,69.828,2.654,0.109,31.164,63.419,0
2024-01-01 00:14:00,15.962,0.403,54.786,9.975,0.15,61.459,46.018,0
2024-01-01 00:15:00,25.846,0.773,38.114,5.239,0.026,42.542,69.209,0
2024-01-01 00:16:00,21.919,0.272,71.677,5.192,0.112,32.523,39.356,0
2024-01-01 00:17:00,32.614,0.418,51.204,6.249,0.144,34.403,54.245,0
2024-01-01 00:18:00,23.304,0.348,67.533,6.026,0.109,36.397,37.807,0
2024-01-01 00:19:00,18.89,0.541,50.283,5.322,0.153,44.272,83.251,0
2024-01-01 00:20:00,41.925,1.196,80.814,3.425,0.073,46.92,32.706,0
2024-01-01 00:21:00,28.592,-0.021,76.387,5.971,0.169,33.837,55.229,0
2024-01-01 00:22:00,30.405,0.719,46.099,8.902,0.217,39.566,59.569,0
2024-01-01 00:23:00,18.29,0.007,64.093,7.558,0.081,65.68,57.248,0
2024-01-01 00:24:00,25.257,0.385,59.805,7.881,0.076,59.786,47.523,0
2024-01-01 00:25:00,30.157,0.842,70.856,3.996,0.176,45.553,47.417,0
2024-01-01 00:26:00,21.556,0.513,34.72,3.203,0.182,40.809,51.693,0
2024-01-01 00:27:00,32.596,0.195,61.334,4.874,0.072,41.402,48.31,0
2024-01-01 00:28:00,25.113,0.286,65.804,5.133,0.075,48.056,64.131,0
2024-01-01 00:29:00,27.564,0.716,23.633,7.139,0.088,27.52,82.804,0
2024-01-01 00:30:00,25.301,0.288,32.775,1.697,0.031,37.26,41.856,0
2024-01-01 00:31:00,45.121,0.553,19.584,7.961,0.056,19.348,29.795,0
2024-01-01 00:32:00,30.212,0.504,46.663,4.732,0.045,44.776,48.821,0
2024-01-01 00:33:00,21.322,0.319,60.975,4.197,0.064,47.659,88.925,0
2024-01-01 00:34:00,36.518,1.138,72.083,3.083,0.095,34.341,39.199,0
2024-01-01 00:35:00,20.338,0.684,51.379,1.97,0.113,58.66,75.377,0
2024-01-01 00:36:00,31.579,-0.014,73.584,6.686,0.178,25.21,75.306,0
2024-01-01 00:37:00,14.92,0.562,29.379,5.095,0.048,22.937,42.391,0
2024-01-01 00:38:00,19.557,0.331,24.425,2.417,0.148,42.424,57.773,0
2024-01-01 00:39:00,31.848,0.741,49.013,2.231,0.091,51.574,74.72,0
2024-01-01 00:40:00,36.154,0.263,55.666,4.258,0.098,61.286,45.648,0
2024-01-01 00:41:00,31.807,0.486,48.119,8.297,0.135,35.345,46.785,0
2024-01-01 00:42:00,29.142,0.65,18.583,4.428,0.049,52.147,40.649,0
2024-01-01 00:43:00,27.109,0.766,48.732,2.009,0.115,39.963,34.298,0
2024-01-01 00:44:00,18.32,0.125,30.551,4.425,0.112,37.618,39.457,0
2024-01-01 00:45:00,23.999,0.406,59.286,4.568,0.125,50.766,31.062,0
2024-01-01 00:46:00,26.119,0.355,56.434,0.0,0.112,48.009,50.238,0
2024-01-01 00:47:00,38.675,0.318,35.262,4.89,0.22,20.939,37.413,0
2024-01-01 00:48:00,33.209,1.047,43.008,4.505,0.068,57.235,53.518,0
2024-01-01 00:49:00,15.904,0.658,34.428,6.408,0.076,56.135,27.327,0
2024-01-01 00:50:00,32.707,0.13,48.582,8.781,0.069,31.928,54.293,0
2024-01-01 00:51:00,27.552,0.78,65.639,7.165,0.076,44.237,63.624,0
2024-01-01 00:52:00,24.674,1.139,34.332,4.396,0.065,45.887,20.471,0
2024-01-01 00:53:00,35.86,0.805,58.24,2.756,0.159,42.687,56.371,0
2024-01-01 00:54:00,38.458,0.049,42.786,10.01,0.168,33.817,67.93,0
